review_id,customer_name,age,brand,model,price_usd,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source,price_usd_log,sentiment_encoded,verified_purchase_encoded,sentiment_enc,verified_enc,brand_enc,model_enc,country_enc,cluster
1,Aryan Maharaj,45,Realme,Realme 12 Pro,337.31,INR,83.0,2,Negative,India,Hindi,2023-11-06,True,1,1,3,2,1,1,Amazon,5.823962634912306,0,1,0,1,4,15,4,0
4,David Guzman,19,Xiaomi,Redmi Note 13,660.94,AED,3.67,3,Positive,UAE,English,2025-03-11,False,1,3,2,1,2,3,Amazon,6.495174917388372,2,0,2,0,6,17,5,0
5,Yago Leão,38,Motorola,Edge 50,792.13,BRL,5.7,3,Neutral,Brazil,Portuguese,2023-09-29,True,3,3,2,2,1,0,BestBuy,6.6759871426252975,1,1,1,1,2,0,1,0
7,Gina Moore,40,OnePlus,OnePlus 12,420.13,AED,3.67,3,Positive,UAE,English,2024-03-27,False,3,3,2,1,2,2,eBay,6.042941574615569,2,0,2,0,3,8,5,0
8,James Howard,39,Apple,iPhone SE,1443.76,AUD,1.53,2,Negative,Australia,English,2024-04-08,True,2,1,2,2,2,3,Amazon,7.275698496786669,0,1,0,1,0,21,0,0
11,Aimee Hurst-Taylor,20,Realme,Realme 12 Pro,462.3,GBP,0.78,3,Neutral,UK,English,2025-04-05,True,4,1,3,5,2,0,eBay,6.138374792422603,1,1,1,1,4,15,6,0
12,Benjamin Stanley,30,Xiaomi,Mi 13 Pro,495.45,CAD,1.38,2,Neutral,Canada,English,2024-01-14,True,1,2,1,2,1,2,Amazon,6.207482773479603,1,1,1,1,6,5,2,0
14,Mark Diaz,32,Realme,Realme Narzo 70,247.88,CAD,1.38,2,Negative,Canada,English,2024-05-19,False,1,3,2,1,2,2,store,5.516970852589382,0,0,0,0,4,16,2,0
15,Ms Hollie Phillips,39,Samsung,Galaxy Note 20,1146.49,GBP,0.78,3,Neutral,UK,English,2025-09-17,True,2,3,1,2,3,4,BestBuy,7.045332227299778,1,1,1,1,5,2,6,0
16,Ana Sophia Pereira,19,Realme,Realme Narzo 70,262.0,BRL,5.7,2,Neutral,Brazil,Portuguese,2025-07-04,False,2,1,2,2,1,3,Flipkart,5.572154032177765,1,0,1,0,4,16,1,0
